participant_id,rt,response,cond
subj_01,0.59155065,-1.0,DA_ON
subj_01,0.75526243,1.0,DA_ON
subj_01,0.68194187,1.0,DA_ON
subj_01,0.5796062,1.0,DA_ON
subj_01,0.55054635,1.0,DA_ON
subj_01,0.66036767,1.0,DA_ON
subj_01,0.6551883,1.0,DA_ON
subj_01,0.3797163,1.0,DA_ON
subj_01,0.3401159,1.0,DA_ON
subj_01,0.36867452,-1.0,DA_ON
subj_01,0.31816822,1.0,DA_ON
subj_01,0.53535193,1.0,DA_ON
subj_01,0.9607722,-1.0,DA_ON
subj_01,0.6661294,1.0,DA_ON
subj_01,1.6039826,1.0,DA_ON
subj_01,0.7908616,1.0,DA_ON
subj_01,0.81107646,-1.0,DA_ON
subj_01,0.53783137,1.0,DA_ON
subj_01,0.36965802,1.0,DA_ON
subj_01,1.2446238,1.0,DA_ON
subj_01,0.8497862,1.0,DA_ON
subj_01,0.40428245,1.0,DA_ON
subj_01,0.5177655,-1.0,DA_ON
subj_01,0.6803249,1.0,DA_ON
subj_01,0.5244476,-1.0,DA_ON
subj_01,0.81363386,-1.0,DA_ON
subj_01,0.5950088,1.0,DA_ON
subj_01,0.47977355,-1.0,DA_ON
subj_01,0.8092237,1.0,DA_ON
subj_01,1.031975,1.0,DA_ON
subj_01,0.7608142,1.0,DA_ON
subj_01,0.9181617,1.0,DA_ON
subj_01,0.74959224,1.0,DA_ON
subj_01,0.4082375,-1.0,DA_ON
subj_01,0.7629555,-1.0,DA_ON
subj_01,0.91707,-1.0,DA_ON
subj_01,0.7427126,1.0,DA_ON
subj_01,1.5138215,-1.0,DA_ON
subj_01,1.4286975,1.0,DA_ON
subj_01,0.2810921,-1.0,DA_ON
subj_01,1.0397635,-1.0,DA_ON
subj_01,0.7829808,1.0,DA_ON
subj_01,1.2575369,1.0,DA_ON
subj_01,0.69491214,-1.0,DA_ON
subj_01,1.5022097,-1.0,DA_ON
subj_01,0.4169803,-1.0,DA_ON
subj_01,0.55764496,1.0,DA_ON
subj_01,0.6173928,-1.0,DA_ON
subj_01,0.8042415,1.0,DA_ON
subj_01,0.32089287,1.0,DA_ON
subj_01,1.2483706,1.0,DA_ON
subj_01,1.0070541,1.0,DA_ON
subj_01,0.9098422,-1.0,DA_ON
subj_01,0.48872593,-1.0,DA_ON
subj_01,0.34962943,-1.0,DA_ON
subj_01,0.49504173,-1.0,DA_ON
subj_01,1.4537294,1.0,DA_ON
subj_01,0.6925325,-1.0,DA_ON
subj_01,0.9571206,1.0,DA_ON
subj_01,1.0029767,1.0,DA_ON
subj_01,0.7459703,1.0,DA_ON
subj_01,0.93545485,-1.0,DA_ON
subj_01,0.3567085,1.0,DA_ON
subj_01,0.8820875,1.0,DA_ON
subj_01,0.5642991,1.0,DA_ON
subj_01,0.53286695,1.0,DA_ON
subj_01,0.5522787,-1.0,DA_ON
subj_01,1.3041445,1.0,DA_ON
subj_01,0.6933797,1.0,DA_ON
subj_01,0.5441868,1.0,DA_ON
subj_01,0.57266366,1.0,DA_ON
subj_01,0.35782316,1.0,DA_ON
subj_01,0.73427135,1.0,DA_ON
subj_01,1.1098098,-1.0,DA_ON
subj_01,0.41150102,1.0,DA_ON
subj_01,1.0958637,1.0,DA_ON
subj_01,0.68424785,1.0,DA_ON
subj_01,0.8228839,1.0,DA_ON
subj_01,0.6094043,1.0,DA_ON
subj_01,0.46279624,1.0,DA_ON
subj_01,0.51558584,1.0,DA_ON
subj_01,0.91346014,1.0,DA_ON
subj_01,0.7141799,1.0,DA_ON
subj_01,0.5551463,1.0,DA_ON
subj_01,0.5238595,-1.0,DA_ON
subj_01,1.0045365,1.0,DA_ON
subj_01,0.8376061,-1.0,DA_ON
subj_01,0.8558049,1.0,DA_ON
subj_01,0.81624717,1.0,DA_ON
subj_01,0.438582,1.0,DA_ON
subj_01,1.0608017,-1.0,DA_ON
subj_01,0.83041507,1.0,DA_ON
subj_01,0.9913594,-1.0,DA_ON
subj_01,1.5647324,1.0,DA_ON
subj_01,0.48696563,1.0,DA_ON
subj_01,1.4680628,1.0,DA_ON
subj_01,0.8955176,1.0,DA_ON
subj_01,0.61080885,-1.0,DA_ON
subj_01,1.6016854,1.0,DA_ON
subj_01,1.3871088,1.0,DA_ON
subj_01,0.7945767,-1.0,DA_ON
subj_01,0.86676687,-1.0,DA_ON
subj_01,0.9191146,1.0,DA_ON
subj_01,0.66859114,1.0,DA_ON
subj_01,0.8975549,1.0,DA_ON
subj_01,1.876399,-1.0,DA_ON
subj_01,1.2043043,-1.0,DA_ON
subj_01,0.51708186,1.0,DA_ON
subj_01,0.55832624,1.0,DA_ON
subj_01,0.94556266,1.0,DA_ON
subj_01,0.4255218,1.0,DA_ON
subj_01,0.4113141,1.0,DA_ON
subj_01,0.7744348,1.0,DA_ON
subj_01,1.0776905,-1.0,DA_ON
subj_01,0.35510072,-1.0,DA_ON
subj_01,0.6506003,1.0,DA_ON
subj_01,0.38871136,-1.0,DA_ON
subj_01,0.8228092,1.0,DA_ON
subj_01,1.1078974,1.0,DA_ON
subj_01,0.5918784,-1.0,DA_ON
subj_01,0.55336326,1.0,DA_ON
subj_01,0.5327172,-1.0,DA_ON
subj_01,0.38964728,1.0,DA_ON
subj_01,0.8141524,1.0,DA_ON
subj_01,0.56443137,1.0,DA_ON
subj_01,0.58260196,-1.0,DA_ON
subj_01,0.60135776,1.0,DA_ON
subj_01,1.113991,1.0,DA_ON
subj_01,0.6627137,1.0,DA_ON
subj_01,0.9610703,1.0,DA_ON
subj_01,0.87069464,-1.0,DA_ON
subj_01,0.3335005,1.0,DA_ON
subj_01,0.7812327,1.0,DA_ON
subj_01,0.49766603,1.0,DA_ON
subj_01,0.6818,1.0,DA_ON
subj_01,0.6665944,1.0,DA_ON
subj_01,0.6676651,1.0,DA_ON
subj_01,0.95240015,-1.0,DA_ON
subj_01,0.6679018,-1.0,DA_ON
subj_01,0.58606607,1.0,DA_ON
subj_01,0.39470848,1.0,DA_ON
subj_01,0.69758576,1.0,DA_ON
subj_01,0.49545762,1.0,DA_ON
subj_01,0.9007826,1.0,DA_ON
subj_01,0.9882473,1.0,DA_ON
subj_01,1.5139043,-1.0,DA_ON
subj_01,1.2844722,-1.0,DA_ON
subj_01,0.38877675,1.0,DA_ON
subj_01,0.98653847,-1.0,DA_ON
subj_01,0.29443341,1.0,DA_ON
subj_01,2.1491518,-1.0,DA_ON
subj_01,0.35073084,1.0,DA_ON
subj_01,1.0812601,-1.0,DA_ON
subj_01,0.42990562,-1.0,DA_ON
subj_01,0.73258716,1.0,DA_ON
subj_01,0.33920974,-1.0,DA_ON
subj_01,0.44942683,1.0,DA_ON
subj_01,0.7747547,1.0,DA_ON
subj_01,0.8346931,1.0,DA_ON
subj_01,0.7679209,-1.0,DA_ON
subj_01,0.6150583,1.0,DA_ON
